fullName;shortName;abbr;circleColor;shadeColor;emoji
Lutte Ouvrière;Lutte Ouvrière;LO;#c46283;#c46283;🟪
Nouveau Parti Anticapitaliste;Nouveau Parti Anticapitaliste;NPA;#8e2f2f;#8e2f2f;🟪
Alliance d'extrême-gauche;Extrême-gauche;LO-NPA;#8e2f2f;#8e2f2f;🟪
Parti Communiste Français;Parti Communiste Français;PCF;#dd00dd;#dd00dd;🟪
La France Insoumise;La France Insoumise;LFI;#cc2443;#cc2443;🟪
Union populaire (LFI-EÉLV-PCF);Union populaire;UP;#cc2443;#cc2443;🟪
Union populaire (LFI-EÉLV-PS-PCF);Union populaire;UP;#cc2443;#cc2443;🟥
Solidarité & Progrès;Solidarité & Progrès;S&P;#eaba47;#eaba47;🟥
Parti Animaliste;Parti Animaliste;PA;#8D2E88;#8D2E88;⬜
Europe Écologie Les Verts;Europe Écologie Les Verts;EÉLV;#00c000;#00c000;🟩
Parti Socialiste;Parti Socialiste;PS;#ff8080;#ff8080;🟥
La République en marche;La République en marche;LREM;#ffeb00;#ffeb00;🟨
Ensemble Citoyens (LREM-MoDem-Horizons);Ensemble Citoyens;EC;#ffeb00;#ffeb00;🟨
Union du centre et de la droite (LREM-MoDem-Horizons-LR-UDI);Ensemble Citoyens;EC;#35ace7;#35ace7;🟨
Union des démocrates et indépendants;Union des démocrates et indépendants;UDI;#00ffff;#00ffff;🟨
Les Républicains;Les Républicains;LR;#0066cc;#0066cc;🟦
Union de la droite et du centre (LR-UDI);Union de droite et centre;LR-UDI;#0066cc;#0066cc;🟦
Résistons !;Résistons !;R!;#93a4d7;#93a4d7;🟦
VIA, la voie du peuple;VIA;VIA;#0000ff;#0000ff;🟦
Debout La France;Debout La France;DLF;#8040c0;#8040c0;🟫
Union Populaire Républicaine;Union Populaire Républicaine;UPR;#118088;#118088;🟫
Rassemblement National;Rassemblement National;RN;#475e88;#475e88;🟫
Union nationaliste (RN-REC-DLF);Union nationaliste;NAT-RRD;#475e88;#475e88;🟫
Union nationaliste (RN-REC);Union nationaliste;NAT-RR;#475e88;#475e88;🟫
Les Patriotes;Les Patriotes;LP;#404040;#404040;🟫
Reconquête;Reconquête;REC;#5B3C11;#5B3C11;🟫
